Абитуриент 936,74,8,5
Абитуриент 46,73,8,10
Абитуриент 502,72,8,
Абитуриент 806,72,8,9
Абитуриент 311,71,8,10
Абитуриент 466,67,8,9
Абитуриент 616,67,8,7
Абитуриент 843,67,8,5
Абитуриент 656,66,8,5
Абитуриент 333,65,8,5
Абитуриент 175,64,8,2
Абитуриент 177,62,8,1
Абитуриент 206,62,8,1
Абитуриент 686,62,8,3
Абитуриент 219,60,8,4
Абитуриент 597,59,8,
Абитуриент 263,58,8,10
Абитуриент 528,58,9,8
Абитуриент 417,57,8,
Абитуриент 916,57,8,6
Абитуриент 15,56,8,
Абитуриент 199,56,8,5
Абитуриент 962,54,8,9
Абитуриент 86,52,9,8
Абитуриент 210,52,8,3
Абитуриент 232,51,8,1
Абитуриент 194,50,8,3
Абитуриент 264,50,9,8
Абитуриент 481,50,8,5
Абитуриент 957,50,8,3
Абитуриент 399,49,8,2
Абитуриент 501,48,1,8
Абитуриент 309,46,5,8
Абитуриент 374,46,8,10
Абитуриент 719,46,7,8
Абитуриент 292,45,8,1
Абитуриент 677,45,8,4
Абитуриент 821,45,8,2
Абитуриент 170,44,1,8
Абитуриент 173,44,8,4
Абитуриент 865,19,10,8,НЕ ПОСТУПИЛ_10_8
Абитуриент 893,19,4,8,НЕ ПОСТУПИЛ_4_8
Абитуриент 441,18,4,8,НЕ ПОСТУПИЛ_4_8
Абитуриент 550,18,4,8,НЕ ПОСТУПИЛ_4_8
Абитуриент 879,18,5,8,НЕ ПОСТУПИЛ_5_8
Абитуриент 477,17,8,3,НЕ ПОСТУПИЛ_8_3
Абитуриент 867,17,9,8,НЕ ПОСТУПИЛ_9_8
Абитуриент 946,16,8,5,НЕ ПОСТУПИЛ_8_5
Абитуриент 97,15,1,8,НЕ ПОСТУПИЛ_1_8
Абитуриент 144,15,1,8,НЕ ПОСТУПИЛ_1_8
Абитуриент 259,15,8,2,НЕ ПОСТУПИЛ_8_2
Абитуриент 293,15,8,7,НЕ ПОСТУПИЛ_8_7
Абитуриент 574,15,8,1,НЕ ПОСТУПИЛ_8_1
Абитуриент 808,15,8,1,НЕ ПОСТУПИЛ_8_1
Абитуриент 984,15,7,8,НЕ ПОСТУПИЛ_7_8
Абитуриент 416,14,8,2,НЕ ПОСТУПИЛ_8_2
Абитуриент 881,14,8,,НЕ ПОСТУПИЛ_8_
Абитуриент 316,13,8,1,НЕ ПОСТУПИЛ_8_1
Абитуриент 87,12,8,1,НЕ ПОСТУПИЛ_8_1
Абитуриент 209,11,9,8,НЕ ПОСТУПИЛ_9_8
Абитуриент 692,11,7,8,НЕ ПОСТУПИЛ_7_8
Абитуриент 779,11,5,8,НЕ ПОСТУПИЛ_5_8
Абитуриент 227,10,2,8,НЕ ПОСТУПИЛ_2_8
Абитуриент 704,10,8,9,НЕ ПОСТУПИЛ_8_9
Абитуриент 944,10,2,8,НЕ ПОСТУПИЛ_2_8
Абитуриент 406,9,8,2,НЕ ПОСТУПИЛ_8_2
Абитуриент 877,9,3,8,НЕ ПОСТУПИЛ_3_8
Абитуриент 193,8,1,8,НЕ ПОСТУПИЛ_1_8
Абитуриент 404,8,8,4,НЕ ПОСТУПИЛ_8_4
Абитуриент 476,8,1,8,НЕ ПОСТУПИЛ_1_8
Абитуриент 614,8,3,8,НЕ ПОСТУПИЛ_3_8
Абитуриент 913,8,8,3,НЕ ПОСТУПИЛ_8_3
Абитуриент 968,8,8,9,НЕ ПОСТУПИЛ_8_9
Абитуриент 59,7,1,8,НЕ ПОСТУПИЛ_1_8
Абитуриент 695,7,8,7,НЕ ПОСТУПИЛ_8_7
Абитуриент 191,6,8,10,НЕ ПОСТУПИЛ_8_10
Абитуриент 506,5,9,8,НЕ ПОСТУПИЛ_9_8
