Абитуриент 381,75,6,7
Абитуриент 632,73,6,
Абитуриент 62,72,6,1
Абитуриент 183,72,6,4
Абитуриент 375,72,6,8
Абитуриент 775,72,6,1
Абитуриент 967,72,6,8
Абитуриент 31,71,6,2
Абитуриент 860,70,6,7
Абитуриент 52,68,6,
Абитуриент 542,68,6,8
Абитуриент 958,68,6,4
Абитуриент 12,67,6,3
Абитуриент 180,64,6,3
Абитуриент 897,63,6,10
Абитуриент 343,62,6,3
Абитуриент 606,62,6,9
Абитуриент 618,62,6,7
Абитуриент 14,59,6,8
Абитуриент 492,59,6,9
Абитуриент 963,59,6,8
Абитуриент 917,58,9,6
Абитуриент 728,57,6,
Абитуриент 1025,57,9,6
Абитуриент 268,56,6,8
Абитуриент 189,54,6,3
Абитуриент 952,54,6,7
Абитуриент 726,53,9,6
Абитуриент 72,51,6,3
Абитуриент 217,50,6,9
Абитуриент 1002,49,6,8
Абитуриент 279,48,10,6
Абитуриент 96,47,6,2
Абитуриент 959,47,6,9
Абитуриент 995,47,6,3
Абитуриент 1017,47,6,
Абитуриент 804,46,6,5
Абитуриент 222,45,6,2
Абитуриент 341,45,6,5
Абитуриент 345,45,6,10
Абитуриент 166,26,7,6,НЕ ПОСТУПИЛ_7_6
Абитуриент 536,26,3,6,НЕ ПОСТУПИЛ_3_6
Абитуриент 443,25,6,7,НЕ ПОСТУПИЛ_6_7
Абитуриент 604,25,1,6,НЕ ПОСТУПИЛ_1_6
Абитуриент 697,25,7,6,НЕ ПОСТУПИЛ_7_6
Абитуриент 44,24,6,,НЕ ПОСТУПИЛ_6_
Абитуриент 215,24,7,6,НЕ ПОСТУПИЛ_7_6
Абитуриент 640,24,6,9,НЕ ПОСТУПИЛ_6_9
Абитуриент 850,24,6,9,НЕ ПОСТУПИЛ_6_9
Абитуриент 896,24,6,9,НЕ ПОСТУПИЛ_6_9
Абитуриент 977,24,5,6,НЕ ПОСТУПИЛ_5_6
Абитуриент 694,23,10,6,НЕ ПОСТУПИЛ_10_6
Абитуриент 25,21,6,,НЕ ПОСТУПИЛ_6_
Абитуриент 75,21,1,6,НЕ ПОСТУПИЛ_1_6
Абитуриент 537,21,6,10,НЕ ПОСТУПИЛ_6_10
Абитуриент 876,21,6,1,НЕ ПОСТУПИЛ_6_1
Абитуриент 543,20,6,9,НЕ ПОСТУПИЛ_6_9
Абитуриент 386,19,3,6,НЕ ПОСТУПИЛ_3_6
Абитуриент 83,18,6,2,НЕ ПОСТУПИЛ_6_2
Абитуриент 297,17,7,6,НЕ ПОСТУПИЛ_7_6
Абитуриент 488,17,6,7,НЕ ПОСТУПИЛ_6_7
Абитуриент 870,17,6,10,НЕ ПОСТУПИЛ_6_10
Абитуриент 621,16,6,4,НЕ ПОСТУПИЛ_6_4
Абитуриент 394,15,10,6,НЕ ПОСТУПИЛ_10_6
Абитуриент 665,15,3,6,НЕ ПОСТУПИЛ_3_6
Абитуриент 799,15,10,6,НЕ ПОСТУПИЛ_10_6
Абитуриент 861,15,6,7,НЕ ПОСТУПИЛ_6_7
Абитуриент 102,14,2,6,НЕ ПОСТУПИЛ_2_6
Абитуриент 410,14,2,6,НЕ ПОСТУПИЛ_2_6
Абитуриент 2,13,2,6,НЕ ПОСТУПИЛ_2_6
Абитуриент 302,13,6,,НЕ ПОСТУПИЛ_6_
Абитуриент 498,13,10,6,НЕ ПОСТУПИЛ_10_6
Абитуриент 826,13,6,1,НЕ ПОСТУПИЛ_6_1
Абитуриент 513,12,6,7,НЕ ПОСТУПИЛ_6_7
Абитуриент 768,12,10,6,НЕ ПОСТУПИЛ_10_6
Абитуриент 325,11,4,6,НЕ ПОСТУПИЛ_4_6
Абитуриент 817,10,6,3,НЕ ПОСТУПИЛ_6_3
Абитуриент 955,9,6,7,НЕ ПОСТУПИЛ_6_7
Абитуриент 983,9,1,6,НЕ ПОСТУПИЛ_1_6
Абитуриент 4,8,6,9,НЕ ПОСТУПИЛ_6_9
Абитуриент 168,8,1,6,НЕ ПОСТУПИЛ_1_6
Абитуриент 338,8,6,10,НЕ ПОСТУПИЛ_6_10
Абитуриент 648,8,2,6,НЕ ПОСТУПИЛ_2_6
Абитуриент 652,8,6,4,НЕ ПОСТУПИЛ_6_4
Абитуриент 722,8,6,9,НЕ ПОСТУПИЛ_6_9
Абитуриент 735,8,4,6,НЕ ПОСТУПИЛ_4_6
Абитуриент 225,7,6,,НЕ ПОСТУПИЛ_6_
Абитуриент 429,7,6,10,НЕ ПОСТУПИЛ_6_10
Абитуриент 557,7,9,6,НЕ ПОСТУПИЛ_9_6
Абитуриент 355,6,6,5,НЕ ПОСТУПИЛ_6_5
Абитуриент 701,6,6,3,НЕ ПОСТУПИЛ_6_3
Абитуриент 859,6,4,6,НЕ ПОСТУПИЛ_4_6
Абитуриент 786,4,6,10,НЕ ПОСТУПИЛ_6_10
Абитуриент 981,4,6,10,НЕ ПОСТУПИЛ_6_10
Абитуриент 1003,4,4,6,НЕ ПОСТУПИЛ_4_6
