Абитуриент 5,74,10,3
Абитуриент 6,74,10,7
Абитуриент 512,74,10,6
Абитуриент 538,72,10,4
Абитуриент 235,71,10,
Абитуриент 819,71,10,
Абитуриент 354,69,10,3
Абитуриент 428,69,10,1
Абитуриент 839,69,10,5
Абитуриент 900,69,10,
Абитуриент 66,68,10,7
Абитуриент 151,68,10,3
Абитуриент 106,67,10,2
Абитуриент 920,67,10,2
Абитуриент 447,66,10,8
Абитуриент 45,65,10,2
Абитуриент 635,65,10,6
Абитуриент 837,65,10,3
Абитуриент 1005,65,10,
Абитуриент 363,63,10,7
Абитуриент 356,62,10,9
Абитуриент 514,62,10,1
Абитуриент 918,62,10,8
Абитуриент 433,61,10,2
Абитуриент 569,60,10,6
Абитуриент 580,60,10,9
Абитуриент 19,59,10,3
Абитуриент 53,59,9,10
Абитуриент 142,59,10,2
Абитуриент 1024,59,10,7
Абитуриент 140,57,10,7
Абитуриент 145,56,10,4
Абитуриент 212,55,10,5
Абитуриент 669,55,9,10
Абитуриент 600,50,10,5
Абитуриент 759,50,9,10
Абитуриент 854,50,10,2
Абитуриент 112,49,9,10
Абитуриент 253,49,10,7
Абитуриент 765,49,10,9
Абитуриент 953,28,1,10,НЕ ПОСТУПИЛ_1_10
Абитуриент 1001,28,5,10,НЕ ПОСТУПИЛ_5_10
Абитуриент 243,27,9,10,НЕ ПОСТУПИЛ_9_10
Абитуриент 276,27,10,2,НЕ ПОСТУПИЛ_10_2
Абитуриент 352,27,10,7,НЕ ПОСТУПИЛ_10_7
Абитуриент 358,27,4,10,НЕ ПОСТУПИЛ_4_10
Абитуриент 736,27,3,10,НЕ ПОСТУПИЛ_3_10
Абитуриент 28,26,1,10,НЕ ПОСТУПИЛ_1_10
Абитуриент 376,26,1,,НЕ ПОСТУПИЛ_1_
Абитуриент 593,26,1,10,НЕ ПОСТУПИЛ_1_10
Абитуриент 950,26,10,7,НЕ ПОСТУПИЛ_10_7
Абитуриент 369,25,9,,НЕ ПОСТУПИЛ_9_
Абитуриент 937,25,10,7,НЕ ПОСТУПИЛ_10_7
Абитуриент 966,25,1,10,НЕ ПОСТУПИЛ_1_10
Абитуриент 44,24,6,,НЕ ПОСТУПИЛ_6_
Абитуриент 555,24,10,2,НЕ ПОСТУПИЛ_10_2
Абитуриент 834,24,10,7,НЕ ПОСТУПИЛ_10_7
Абитуриент 305,23,10,8,НЕ ПОСТУПИЛ_10_8
Абитуриент 344,23,1,10,НЕ ПОСТУПИЛ_1_10
Абитуриент 379,23,10,,НЕ ПОСТУПИЛ_10_
Абитуриент 379,23,10,,НЕ ПОСТУПИЛ_10_
Абитуриент 631,23,10,3,НЕ ПОСТУПИЛ_10_3
Абитуриент 694,23,10,6,НЕ ПОСТУПИЛ_10_6
Абитуриент 270,22,7,10,НЕ ПОСТУПИЛ_7_10
Абитуриент 703,22,10,1,НЕ ПОСТУПИЛ_10_1
Абитуриент 25,21,6,,НЕ ПОСТУПИЛ_6_
Абитуриент 423,21,10,2,НЕ ПОСТУПИЛ_10_2
Абитуриент 537,21,6,10,НЕ ПОСТУПИЛ_6_10
Абитуриент 583,21,10,3,НЕ ПОСТУПИЛ_10_3
Абитуриент 714,21,10,1,НЕ ПОСТУПИЛ_10_1
Абитуриент 446,20,10,2,НЕ ПОСТУПИЛ_10_2
Абитуриент 41,19,10,,НЕ ПОСТУПИЛ_10_
Абитуриент 41,19,10,,НЕ ПОСТУПИЛ_10_
Абитуриент 42,19,10,3,НЕ ПОСТУПИЛ_10_3
Абитуриент 687,19,8,,НЕ ПОСТУПИЛ_8_
Абитуриент 772,19,9,10,НЕ ПОСТУПИЛ_9_10
Абитуриент 865,19,10,8,НЕ ПОСТУПИЛ_10_8
Абитуриент 237,18,1,10,НЕ ПОСТУПИЛ_1_10
Абитуриент 350,18,9,10,НЕ ПОСТУПИЛ_9_10
Абитуриент 637,18,1,10,НЕ ПОСТУПИЛ_1_10
Абитуриент 794,17,10,1,НЕ ПОСТУПИЛ_10_1
Абитуриент 870,17,6,10,НЕ ПОСТУПИЛ_6_10
Абитуриент 982,17,5,,НЕ ПОСТУПИЛ_5_
Абитуриент 11,16,4,10,НЕ ПОСТУПИЛ_4_10
Абитуриент 823,16,10,2,НЕ ПОСТУПИЛ_10_2
Абитуриент 1015,16,10,9,НЕ ПОСТУПИЛ_10_9
Абитуриент 165,15,10,4,НЕ ПОСТУПИЛ_10_4
Абитуриент 303,15,9,,НЕ ПОСТУПИЛ_9_
Абитуриент 307,15,5,,НЕ ПОСТУПИЛ_5_
Абитуриент 320,15,5,,НЕ ПОСТУПИЛ_5_
Абитуриент 394,15,10,6,НЕ ПОСТУПИЛ_10_6
Абитуриент 799,15,10,6,НЕ ПОСТУПИЛ_10_6
Абитуриент 77,14,7,10,НЕ ПОСТУПИЛ_7_10
Абитуриент 530,14,3,10,НЕ ПОСТУПИЛ_3_10
Абитуриент 603,14,10,1,НЕ ПОСТУПИЛ_10_1
Абитуриент 689,14,10,,НЕ ПОСТУПИЛ_10_
Абитуриент 689,14,10,,НЕ ПОСТУПИЛ_10_
Абитуриент 785,14,3,10,НЕ ПОСТУПИЛ_3_10
Абитуриент 873,14,10,9,НЕ ПОСТУПИЛ_10_9
Абитуриент 881,14,8,,НЕ ПОСТУПИЛ_8_
Абитуриент 302,13,6,,НЕ ПОСТУПИЛ_6_
Абитуриент 498,13,10,6,НЕ ПОСТУПИЛ_10_6
Абитуриент 598,13,2,10,НЕ ПОСТУПИЛ_2_10
Абитуриент 915,13,7,,НЕ ПОСТУПИЛ_7_
Абитуриент 317,12,10,7,НЕ ПОСТУПИЛ_10_7
Абитуриент 485,12,4,,НЕ ПОСТУПИЛ_4_
Абитуриент 768,12,10,6,НЕ ПОСТУПИЛ_10_6
Абитуриент 499,11,10,3,НЕ ПОСТУПИЛ_10_3
Абитуриент 615,11,5,10,НЕ ПОСТУПИЛ_5_10
Абитуриент 800,11,3,,НЕ ПОСТУПИЛ_3_
Абитуриент 815,11,5,,НЕ ПОСТУПИЛ_5_
Абитуриент 176,9,9,,НЕ ПОСТУПИЛ_9_
Абитуриент 419,9,9,,НЕ ПОСТУПИЛ_9_
Абитуриент 518,9,10,,НЕ ПОСТУПИЛ_10_
Абитуриент 518,9,10,,НЕ ПОСТУПИЛ_10_
Абитуриент 128,8,1,,НЕ ПОСТУПИЛ_1_
Абитуриент 338,8,6,10,НЕ ПОСТУПИЛ_6_10
Абитуриент 370,8,10,1,НЕ ПОСТУПИЛ_10_1
Абитуриент 711,8,7,10,НЕ ПОСТУПИЛ_7_10
Абитуриент 225,7,6,,НЕ ПОСТУПИЛ_6_
Абитуриент 429,7,6,10,НЕ ПОСТУПИЛ_6_10
Абитуриент 862,7,7,,НЕ ПОСТУПИЛ_7_
Абитуриент 895,7,2,10,НЕ ПОСТУПИЛ_2_10
Абитуриент 188,6,10,7,НЕ ПОСТУПИЛ_10_7
Абитуриент 191,6,8,10,НЕ ПОСТУПИЛ_8_10
Абитуриент 624,6,7,10,НЕ ПОСТУПИЛ_7_10
Абитуриент 828,6,10,3,НЕ ПОСТУПИЛ_10_3
Абитуриент 961,6,1,,НЕ ПОСТУПИЛ_1_
Абитуриент 141,5,3,,НЕ ПОСТУПИЛ_3_
Абитуриент 81,4,10,2,НЕ ПОСТУПИЛ_10_2
Абитуриент 223,4,2,10,НЕ ПОСТУПИЛ_2_10
Абитуриент 230,4,5,,НЕ ПОСТУПИЛ_5_
Абитуриент 238,4,5,10,НЕ ПОСТУПИЛ_5_10
Абитуриент 750,4,9,10,НЕ ПОСТУПИЛ_9_10
Абитуриент 786,4,6,10,НЕ ПОСТУПИЛ_6_10
Абитуриент 981,4,6,10,НЕ ПОСТУПИЛ_6_10
�ТУПИЛ_5_
Абитуриент 238,4,5,10,НЕ ПОСТУПИЛ_5_10
Абитуриент 750,4,9,10,НЕ ПОСТУПИЛ_9_10
Абитуриент 786,4,6,10,НЕ ПОСТУПИЛ_6_10
Абитуриент 981,4,6,10,НЕ ПОСТУПИЛ_6_10
